samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
AM27_3_PRJNA642736 AM27.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138618_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138618_2.fastq
AM27_2_PRJNA642736 AM27.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138629_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138629_2.fastq
BM16_3_PRJNA642736 BM16.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138639_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138639_2.fastq
BM16_2_PRJNA642736 BM16.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138640_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138640_2.fastq
BM16_1_PRJNA642736 BM16.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138641_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138641_2.fastq
AF30_3_PRJNA642736 AF30.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138642_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138642_2.fastq
BM15_5_PRJNA642736 BM15.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138643_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138643_2.fastq
BM15_4_PRJNA642736 BM15.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138644_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138644_2.fastq
BM15_3_PRJNA642736 BM15.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138645_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138645_2.fastq
BM15_2_PRJNA642736 BM15.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138646_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138646_2.fastq
BM15_1_PRJNA642736 BM15.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138647_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138647_2.fastq
BM14_5_PRJNA642736 BM14.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138648_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138648_2.fastq
BM14_4_PRJNA642736 BM14.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138649_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138649_2.fastq
BM14_3_PRJNA642736 BM14.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138650_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138650_2.fastq
BM14_2_PRJNA642736 BM14.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138651_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138651_2.fastq
