samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
ND142_1_L002 A22W25NLT4.L002.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1001/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1001_S1_L002_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1001/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1001_S1_L002_R2_001.fastq.gz
ND142_1_L001 A22W25NLT4.L001.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1001/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1001_S1_L001_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1001/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1001_S1_L001_R2_001.fastq.gz
ND142_1_L003 A22W25NLT4.L003.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1001/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1001_S1_L003_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1001/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1001_S1_L003_R2_001.fastq.gz
ND142_2_L003 A22W25NLT4.L003.2 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1002/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1002_S2_L003_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1002/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1002_S2_L003_R2_001.fastq.gz
ND142_2_L002 A22W25NLT4.L002.2 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1002/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1002_S2_L002_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1002/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1002_S2_L002_R2_001.fastq.gz
ND142_2_L001 A22W25NLT4.L001.2 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1002/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1002_S2_L001_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1002/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1002_S2_L001_R2_001.fastq.gz
ND142_3_L001 A22W25NLT4.L001.3 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1003/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1003_S3_L001_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1003/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1003_S3_L001_R2_001.fastq.gz
ND142_3_L003 A22W25NLT4.L003.3 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1003/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1003_S3_L003_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1003/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1003_S3_L003_R2_001.fastq.gz
ND142_3_L002 A22W25NLT4.L002.3 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1003/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1003_S3_L002_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1003/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1003_S3_L002_R2_001.fastq.gz
ND157_1_L003 A22W25NLT4.L003.1 illumina /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1004/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1004_S4_L003_R1_001.fastq.gz /cfs/klemming/projects/supr/naiss2024-6-170/raw_data/Herring_DeepSeq_2/files/P36109/P36109_1004/02-FASTQ/20250702_LH00217_0229_A22W25NLT4/P36109_1004_S4_L003_R2_001.fastq.gz
