sample,id,Region,Spawn,old_id,Period,Year,Inversion,PC1,PC2
201450544,faroe_1,North Atlantic,autumn,201450544,Present-day,2014,North,-0.0526931957723249,-0.0279486502798062
201450545,faroe_2,North Atlantic,autumn,201450545,Present-day,2014,North,-0.0544556860675859,-0.0277107862734794
201550141,faroe_3,North Atlantic,autumn,201550141,Present-day,2015,South,0.0790004558766713,-0.0506871057776938
201550142,faroe_4,North Atlantic,autumn,201550142,Present-day,2015,South,0.0789867841450915,-0.0500609981256398
201550143,faroe_5,North Atlantic,autumn,201550143,Present-day,2015,North,-0.0519208299174949,-0.0280269910754999
201550145,faroe_6,North Atlantic,autumn,201550145,Present-day,2015,South,0.0800315340421871,-0.0452213052682972
201550147,faroe_7,North Atlantic,autumn,201550147,Present-day,2015,South,0.0794005380624825,-0.0431191265709215
201550149,faroe_8,North Atlantic,autumn,201550149,Present-day,2015,North,-0.0537925215959284,-0.0294164299877834
201550562,norwegian_1,Norway,spring,201550562,Present-day,2015,North,-0.0543903987225847,-0.0303338443068386
201550563,norwegian_2,Norway,spring,201550563,Present-day,2015,North,-0.0547256208026808,-0.0293047842150667
201550564,norwegian_3,Norway,spring,201550564,Present-day,2015,North,-0.0525836461902534,-0.0292552781360422
201550565,norwegian_4,Norway,spring,201550565,Present-day,2015,North,-0.0527030428383453,-0.0277960321580693
201550566,norwegian_5,Norway,spring,201550566,Present-day,2015,North,-0.052101284043174,-0.0283134396104497
201550567,norwegian_6,Norway,spring,201550567,Present-day,2015,North,-0.0519147672801432,-0.0262398008348399
201550568,norwegian_7,Norway,spring,201550568,Present-day,2015,North,-0.053017759486989,-0.0294568387566503
201550569,norwegian_8,Norway,spring,201550569,Present-day,2015,North,-0.0538028906555786,-0.0272879490068401
201604591,faroe_9,North Atlantic,autumn,201604591,Present-day,2016,North,-0.0540016748724769,-0.0319223386982035
201650792,northsea_1,North Sea,autumn,201650792,Present-day,2016,South,0.0793895409677785,-0.0448225224725847
201650793,northsea_2,North Sea,autumn,201650793,Present-day,2016,South,0.0801662387879993,-0.0451368900852886
201650794,northsea_3,North Sea,autumn,201650794,Present-day,2016,South,0.0803354735650505,-0.0482033911365474
201650795,northsea_4,North Sea,autumn,201650795,Present-day,2016,South,0.079383462992526,-0.0461567159031211
201650796,northsea_5,North Sea,autumn,201650796,Present-day,2016,South,0.0799628971678601,-0.044872996866114
201650797,northsea_6,North Sea,autumn,201650797,Present-day,2016,South,0.0804965306646353,-0.044455536319207
201650798,northsea_7,North Sea,autumn,201650798,Present-day,2016,South,0.0801544935538027,-0.0437056819212055
201650799,northsea_8,North Sea,autumn,201650799,Present-day,2016,South,0.0806461098633214,-0.0426859153182076
201750143,faroe_10,North Atlantic,autumn,201750143,Present-day,2017,North,-0.0544832603400938,-0.030318134548973
201750144,faroe_11,North Atlantic,autumn,201750144,Present-day,2017,North,-0.0526727934114374,-0.0265492056207371
201750145,faroe_12,North Atlantic,autumn,201750145,Present-day,2017,North,-0.0548356397394009,-0.0286873182080661
201750146,faroe_13,North Atlantic,autumn,201750146,Present-day,2017,North,-0.0536988073556976,-0.0299498137868177
201750147,faroe_14,North Atlantic,autumn,201750147,Present-day,2017,North,-0.0541885283320383,-0.0275708166824378
201750149,faroe_15,North Atlantic,autumn,201750149,Present-day,2017,North,-0.0535922926706397,-0.0290758076763553
201750153,faroe_16,North Atlantic,autumn,201750153,Present-day,2017,North,-0.0536482384904364,-0.0311097744468242
201750154,faroe_17,North Atlantic,autumn,201750154,Present-day,2017,North,-0.0519426607429507,-0.0309813282388788
201750155,faroe_18,North Atlantic,autumn,201750155,Present-day,2017,North,-0.0534413471923889,-0.0300532985132639
201750157,faroe_19,North Atlantic,autumn,201750157,Present-day,2017,North,-0.0548181503391345,-0.0289167860563643
201750158,faroe_20,North Atlantic,autumn,201750158,Present-day,2017,North,-0.0531526860279128,-0.0309623542781517
201750159,faroe_21,North Atlantic,autumn,201750159,Present-day,2017,North,-0.052245610397062,-0.0260688688832533
201750201,iceland_1,North Atlantic,summer,201750201,Present-day,2017,North,-0.0542369553896939,-0.0290302926519994
201750202,iceland_2,North Atlantic,summer,201750202,Present-day,2017,North,-0.0527219633005196,-0.0242772042900256
201750203,iceland_3,North Atlantic,summer,201750203,Present-day,2017,North,-0.0535410006175092,-0.0264818056601087
201750204,iceland_4,North Atlantic,summer,201750204,Present-day,2017,North,-0.0530242758891801,-0.0267212555023579
201750205,iceland_5,North Atlantic,summer,201750205,Present-day,2017,North,-0.052159867228055,-0.0227243602032709
201750206,iceland_6,North Atlantic,summer,201750206,Present-day,2017,North,-0.0527338366677529,-0.0248952369012955
201750207,iceland_7,North Atlantic,summer,201750207,Present-day,2017,North,-0.051559206190156,-0.0266733268468857
201750212,iceland_8,North Atlantic,summer,201750212,Present-day,2017,North,-0.0535073120363081,-0.0281702291266728
201750214,iceland_9,North Atlantic,summer,201750214,Present-day,2017,North,-0.0533840202536319,-0.0271937142637358
201750215,iceland_10,North Atlantic,summer,201750215,Present-day,2017,North,-0.0542226997266226,-0.0310943828825464
201750216,iceland_11,North Atlantic,summer,201750216,Present-day,2017,North,-0.0531651446121924,-0.0260999925694846
