sample,id,Period,Year,x,y,GeneticGroup,SpawnTime,Stock
201450544,faroe_1,mh,2014,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201450545,faroe_2,mh,2014,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201550141,faroe_3,mh,2015,-7.03463,61.88078,North Sea,Autumn,North Sea Autumn-Spawner
201550142,faroe_4,mh,2015,-7.03463,61.88078,North Sea,Autumn,North Sea Autumn-Spawner
201550143,faroe_5,mh,2015,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201550145,faroe_6,mh,2015,-7.03463,61.88078,North Sea,Autumn,North Sea Autumn-Spawner
201550147,faroe_7,mh,2015,-7.03463,61.88078,North Sea,Autumn,North Sea Autumn-Spawner
201550149,faroe_8,mh,2015,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201550562,norwegian_1,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
201550563,norwegian_2,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
201550564,norwegian_3,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
201550565,norwegian_4,mh,2015,-1.84517,64.51262,North Atlantic,Spring,North Atlantic Spring-Spawner
201550566,norwegian_5,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
201550567,norwegian_6,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
201550568,norwegian_7,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
201550569,norwegian_8,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
201604591,faroe_9,mh,2016,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201650792,northsea_1,mh,2016,1.64507,59.81814,Britain & Ireland,Spring,Ireland & Britain Spring-Spawner
201650793,northsea_2,mh,2016,1.64507,59.81814,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
201650794,northsea_3,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
201650795,northsea_4,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
201650796,northsea_5,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
201650797,northsea_6,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
201650798,northsea_7,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
201650799,northsea_8,mh,2016,1.64507,59.81814,Britain & Ireland,Spring,Ireland & Britain Spring-Spawner
201750143,faroe_10,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750144,faroe_11,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750145,faroe_12,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750146,faroe_13,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750147,faroe_14,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750149,faroe_15,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750153,faroe_16,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750154,faroe_17,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750155,faroe_18,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750157,faroe_19,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
