Run,Bases,BioSample,Experiment,Instrument,Library Name,LibraryLayout,Organism,Platform,Sample_name,SRA Study,sample_type,sex,Sample_code,Date,geo_loc_name,lat,lon,lat_lon,Spawning_time,Era
SRR23392246,70308756252,SAMN33007732,SRX19329985,Illumina HiSeq 2500,Maine_USA_Autumn,PAIRED,Clupea harengus,ILLUMINA,Maine_USA_Autumn,SRP421823,pool,NA,ME4,2014,GulfofMaine,NA,NA,42.09 N 70.41 W,autumn,modern
SRR23392247,62251923636,SAMN33007730,SRX19329984,Illumina HiSeq 2500,Musquodoboit_Canada_Autumn,PAIRED,Clupea harengus,ILLUMINA,Musquodoboit_Canada_Autumn,SRP421823,pool,NA,MUS,2015,Musquodoboit,NA,NA,44.63 N 63.1 W,autumn,modern
SRR23392248,67132644012,SAMN33007729,SRX19329983,Illumina HiSeq 2500,ScotsBay_Canada_Autumn,PAIRED,Clupea harengus,ILLUMINA,ScotsBay_Canada_Autumn,SRP421823,pool,NA,SCB,2015,ScotsBay,NA,NA,45.17 N 64.92 W,autumn,modern
SRR23392249,62269660908,SAMN33007728,SRX19329982,Illumina HiSeq 2500,BrasdOrLake_Canada_Mixed,PAIRED,Clupea harengus,ILLUMINA,BrasdOrLake_Canada_Mixed,SRP421823,pool,NA,BDO,2016,BrasdOrLake,NA,NA,45.93 N 60.85 W,mixed,modern
SRR23392250,63133214760,SAMN33007727,SRX19329981,Illumina HiSeq 2500,PEI_Canada_Autumn,PAIRED,Clupea harengus,ILLUMINA,PEI_Canada_Autumn,SRP421823,pool,NA,PEI,2014,PrinceEdwardIsland,NA,NA,47.04 N 63.96 W,autumn,modern
SRR23392251,62376586524,SAMN33007725,SRX19329980,Illumina HiSeq 2500,NotreDameBay_Canada_Autumn,PAIRED,Clupea harengus,ILLUMINA,NotreDameBay_Canada_Autumn,SRP421823,pool,NA,NDB,2015,NotreDameBay,NA,NA,49.55 N 55.47 W,autumn,modern
SRR23392252,64522088820,SAMN33007724,SRX19329979,Illumina HiSeq 2500,BlancSablon_Canada_Autumn,PAIRED,Clupea harengus,ILLUMINA,BlancSablon_Canada_Autumn,SRP421823,pool,NA,BLS,2014,BlancSablon,NA,NA,51.38 N 57.31 W,autumn,modern
SRR23392253,63379123668,SAMN33007723,SRX19329978,Illumina HiSeq 2500,Labrador_Canada_Autumn,PAIRED,Clupea harengus,ILLUMINA,Labrador_Canada_Autumn,SRP421823,pool,NA,LAB,2014,Labrador,NA,NA,52.25 N 55.5 W,autumn,modern
SRR23392254,64992060756,SAMN33007720,SRX19329977,Illumina HiSeq 2500,Stephenville_Canada_Spring,PAIRED,Clupea harengus,ILLUMINA,Stephenville_Canada_Spring,SRP421823,pool,NA,SPH,2012,Stephenville,NA,NA,49.73 N 57.94 W,spring,modern
SRR23392255,60733790208,SAMN33007718,SRX19329976,Illumina HiSeq 2500,SevenIslands_Canada_Summer,PAIRED,Clupea harengus,ILLUMINA,SevenIslands_Canada_Summer,SRP421823,pool,NA,SIL,2012,SevenIslands,NA,NA,50.09 N 66.33 W,summer,modern
SRR27847779,35751305412,SAMN39750367,SRX23510793,Illumina HiSeq 2500,12S4S7i22_Canada_Atlantic_Summer,PAIRED,Clupea harengus,ILLUMINA,12S4S7i22_Canada_Atlantic_Summer,SRP421823,individual,NA,12S4S7i22,2012,SevenIslands,NA,NA,50.09 N 66.33 W,summer,modern
SRR27847780,32348713088,SAMN39750366,SRX23510792,Illumina HiSeq 2500,16SBDO107_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,16SBDO107_Canada_Atlantic_Spring,SRP421823,individual,NA,16SBDO107,2016,BrasdOrLake,NA,NA,45.93 N 60.85 W,spring,modern
SRR27847781,45020587486,SAMN39750365,SRX23510791,Illumina HiSeq 2500,16SBDO106_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,16SBDO106_Canada_Atlantic_Spring,SRP421823,individual,NA,16SBDO106,2016,BrasdOrLake,NA,NA,45.93 N 60.85 W,spring,modern
SRR27847782,29910575582,SAMN39750338,SRX23510790,Illumina HiSeq 2500,14F4TL415_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,14F4TL415_Canada_Atlantic_Autumn,SRP421823,individual,NA,14F4TL415,2014,PrinceEdwardIsland,NA,NA,47.04 N 63.96 W,autumn,modern
SRR27847783,37781015400,SAMN39750364,SRX23510789,Illumina HiSeq 2500,16S6Pla72_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,16S6Pla72_Canada_Atlantic_Spring,SRP421823,individual,NA,16S6Pla72,2016,PlacentiaBay,NA,NA,47.31 N 53.94 W,spring,modern
SRR27847784,37645284218,SAMN39750363,SRX23510788,Illumina HiSeq 2500,16S6Pla71_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,16S6Pla71_Canada_Atlantic_Spring,SRP421823,individual,NA,16S6Pla71,2016,PlacentiaBay,NA,NA,47.31 N 53.94 W,spring,modern
SRR27847785,34060560526,SAMN39750362,SRX23510787,Illumina HiSeq 2500,16S4Pla79_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,16S4Pla79_Canada_Atlantic_Spring,SRP421823,individual,NA,16S4Pla79,2016,PlacentiaBay,NA,NA,47.31 N 53.94 W,spring,modern
SRR27847786,38073628938,SAMN39750361,SRX23510786,Illumina HiSeq 2500,16S4Pla78_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,16S4Pla78_Canada_Atlantic_Spring,SRP421823,individual,NA,16S4Pla78,2016,PlacentiaBay,NA,NA,47.31 N 53.94 W,spring,modern
SRR27847787,33804884608,SAMN39750360,SRX23510785,Illumina HiSeq 2500,15S3K449_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,15S3K449_Canada_Atlantic_Spring,SRP421823,individual,NA,15S3K449,2015,NotreDameBay,NA,NA,49.55 N 55.44 W,spring,modern
SRR27847788,35991796166,SAMN39750359,SRX23510784,Illumina HiSeq 2500,15S3K430_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,15S3K430_Canada_Atlantic_Spring,SRP421823,individual,NA,15S3K430,2015,NotreDameBay,NA,NA,49.55 N 55.44 W,spring,modern
SRR27847789,37383770942,SAMN39750358,SRX23510783,Illumina HiSeq 2500,15S3K410_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,15S3K410_Canada_Atlantic_Spring,SRP421823,individual,NA,15S3K410,2015,NotreDameBay,NA,NA,49.55 N 55.44 W,spring,modern
SRR27847790,38536201432,SAMN39750357,SRX23510782,Illumina HiSeq 2500,15S3K404_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,15S3K404_Canada_Atlantic_Spring,SRP421823,individual,NA,15S3K404,2015,NotreDameBay,NA,NA,49.55 N 55.44 W,spring,modern
SRR27847791,35760533324,SAMN39750356,SRX23510781,Illumina HiSeq 2500,14S3Ps265_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,14S3Ps265_Canada_Atlantic_Spring,SRP421823,individual,NA,14S3Ps265,2014,FortuneBay,NA,NA,47.52 N 55.40 W,spring,modern
SRR27847792,39315764602,SAMN39750355,SRX23510780,Illumina HiSeq 2500,14S3Ps233_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,14S3Ps233_Canada_Atlantic_Spring,SRP421823,individual,NA,14S3Ps233,2014,FortuneBay,NA,NA,47.52 N 55.40 W,spring,modern
SRR27847793,39491854762,SAMN39750337,SRX23510779,Illumina HiSeq 2500,14F4TL404_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,14F4TL404_Canada_Atlantic_Autumn,SRP421823,individual,NA,14F4TL404,2014,PrinceEdwardIsland,NA,NA,47.04 N 63.96 W,autumn,modern
SRR27847794,38858031054,SAMN39750354,SRX23510778,Illumina HiSeq 2500,12S4Rsv41_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,12S4Rsv41_Canada_Atlantic_Spring,SRP421823,individual,NA,12S4Rsv41,2012,Stephenville,NA,NA,49.73 N 57.94 W,spring,modern
SRR27847795,38532451498,SAMN39750353,SRX23510777,Illumina HiSeq 2500,12S4Rsv38_Canada_Atlantic_Spring,PAIRED,Clupea harengus,ILLUMINA,12S4Rsv38_Canada_Atlantic_Spring,SRP421823,individual,NA,12S4Rsv38,2012,Stephenville,NA,NA,49.73 N 57.94 W,spring,modern
SRR27847796,34207190284,SAMN39750352,SRX23510776,Illumina HiSeq 2500,15F5Y514-620_USA_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F5Y514-620_USA_Atlantic_Autumn,SRP421823,individual,NA,15F5Y514620,2015,GulfofMaine,NA,NA,42.09 N 70.41 W,autumn,modern
SRR27847797,37937544718,SAMN39750351,SRX23510775,Illumina HiSeq 2500,15F5Y514-617_USA_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F5Y514-617_USA_Atlantic_Autumn,SRP421823,individual,NA,15F5Y514617,2015,GulfofMaine,NA,NA,42.09 N 70.41 W,autumn,modern
SRR27847798,43254705604,SAMN39750350,SRX23510774,Illumina HiSeq 2500,15F4XRsb626_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F4XRsb626_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F4XRsb626,2015,ScotsBay,NA,NA,45.17 N 64.92 W,autumn,modern
SRR27847799,36251957992,SAMN39750349,SRX23510773,Illumina HiSeq 2500,15F4XRsb625_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F4XRsb625_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F4XRsb625,2015,ScotsBay,NA,NA,45.17 N 64.92 W,autumn,modern
SRR27847800,30080133180,SAMN39750348,SRX23510772,Illumina HiSeq 2500,15F3K621_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F3K621_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F3K621,2015,NotreDameBay,NA,NA,49.55 N 55.47 W,autumn,modern
SRR27847801,42515017910,SAMN39750347,SRX23510771,Illumina HiSeq 2500,15F3K609_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F3K609_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F3K609,2015,NotreDameBay,NA,NA,49.55 N 55.47 W,autumn,modern
SRR27847802,42623390308,SAMN39750346,SRX23510770,Illumina HiSeq 2500,15F3K602_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F3K602_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F3K602,2015,NotreDameBay,NA,NA,49.55 N 55.47 W,autumn,modern
SRR27847803,36325714244,SAMN39750344,SRX23510769,Illumina HiSeq 2500,15F2J616_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F2J616_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F2J616,2015,Labrador,NA,NA,52.25 N 55.50 W,autumn,modern
SRR27847804,42222418264,SAMN39750343,SRX23510768,Illumina HiSeq 2500,15F2J606_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F2J606_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F2J606,2015,Labrador,NA,NA,52.25 N 55.50 W,autumn,modern
SRR27847805,36742349216,SAMN39750342,SRX23510767,Illumina HiSeq 2500,15F2J603_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F2J603_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F2J603,2015,Labrador,NA,NA,52.25 N 55.50 W,autumn,modern
SRR27847806,36835354948,SAMN39750341,SRX23510766,Illumina HiSeq 2500,15F2J602_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F2J602_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F2J602,2015,Labrador,NA,NA,52.25 N 55.50 W,autumn,modern
SRR27847807,34205403954,SAMN39750340,SRX23510765,Illumina HiSeq 2500,14F4WK316_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,14F4WK316_Canada_Atlantic_Autumn,SRP421823,individual,NA,14F4WK316,2014,Musquodoboit,NA,NA,44.63 N 63.10 W,autumn,modern
SRR27847808,33167052152,SAMN39750339,SRX23510764,Illumina HiSeq 2500,14F4WK306_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,14F4WK306_Canada_Atlantic_Autumn,SRP421823,individual,NA,14F4WK306,2014,Musquodoboit,NA,NA,44.63 N 63.10 W,autumn,modern
SRR27847809,38353143528,SAMN39750368,SRX23510763,Illumina HiSeq 2500,12S4S7i28_Canada_Atlantic_Summer,PAIRED,Clupea harengus,ILLUMINA,12S4S7i28_Canada_Atlantic_Summer,SRP421823,individual,NA,12S4S7i28,2012,SevenIslands,NA,NA,50.09 N 66.33 W,summer,modern
SRR27847810,31271159572,SAMN39750345,SRX23510762,Illumina HiSeq 2500,15F3K601_Canada_Atlantic_Autumn,PAIRED,Clupea harengus,ILLUMINA,15F3K601_Canada_Atlantic_Autumn,SRP421823,individual,NA,15F3K601,2015,NotreDameBay,NA,NA,49.55 N 55.47 W,autumn,modern
