Run,Bases,BioSample,Experiment,Instrument,Library Name,LibraryLayout,Organism,Platform,Sample_name,SRA Study,sample_type,sex,Sample_code,Date,geo_loc_name,lat,lon,lat_lon,Spawning_time,Era
SRR24138618,2812031600,SAMN34152206,SRX19937359,Illumina HiSeq 2000,AM27_Norway_Atlantic_Spring_rg3,PAIRED,Clupea harengus,ILLUMINA,AM27_Norway_Atlantic_Spring,SRP269168,individual,male,AM27,1980,Sweden,NA,NA,64.866667 N 10.25 E,spring,modern
SRR24138629,2954368200,SAMN34152206,SRX19937348,Illumina HiSeq 2000,AM27_Norway_Atlantic_Spring_rg2,PAIRED,Clupea harengus,ILLUMINA,AM27_Norway_Atlantic_Spring,SRP269168,individual,male,AM27,1980,Sweden,NA,NA,64.866667 N 10.25 E,spring,modern
SRR24138639,2458013800,SAMN34152216,SRX19937338,Illumina HiSeq 2000,BM16_HastKar_Baltic_Spring_rg3,PAIRED,Clupea harengus,ILLUMINA,BM16_HastKar_Baltic_Spring,SRP269168,individual,male,BM16,2013,Baltic Sea,NA,NA,60.532414 N 17.739702 E,spring,modern
SRR24138640,2584172000,SAMN34152216,SRX19937337,Illumina HiSeq 2000,BM16_HastKar_Baltic_Spring_rg2,PAIRED,Clupea harengus,ILLUMINA,BM16_HastKar_Baltic_Spring,SRP269168,individual,male,BM16,2013,Baltic Sea,NA,NA,60.532414 N 17.739702 E,spring,modern
SRR24138641,2263056200,SAMN34152216,SRX19937336,Illumina HiSeq 2000,BM16_HastKar_Baltic_Spring_rg1,PAIRED,Clupea harengus,ILLUMINA,BM16_HastKar_Baltic_Spring,SRP269168,individual,male,BM16,2013,Baltic Sea,NA,NA,60.532414 N 17.739702 E,spring,modern
SRR24138642,2457654600,SAMN34152203,SRX19937335,Illumina HiSeq 2000,AF30_Norway_Atlantic_Spring_rg3,PAIRED,Clupea harengus,ILLUMINA,AF30_Norway_Atlantic_Spring,SRP269168,individual,female,AF30,2013,Norway,NA,NA,61.185625 N 4.658203 E,spring,modern
SRR24138643,2600773800,SAMN34152215,SRX19937334,Illumina HiSeq 2000,BM15_HastKar_Baltic_Spring_rg5,PAIRED,Clupea harengus,ILLUMINA,BM15_HastKar_Baltic_Spring,SRP269168,individual,male,BM15,2013,Baltic Sea,NA,NA,60.532414 N 17.739702 E,spring,modern
SRR24138644,2432442200,SAMN34152215,SRX19937333,Illumina HiSeq 2000,BM15_HastKar_Baltic_Spring_rg4,PAIRED,Clupea harengus,ILLUMINA,BM15_HastKar_Baltic_Spring,SRP269168,individual,male,BM15,2013,Baltic Sea,NA,NA,60.532414 N 17.739702 E,spring,modern
SRR24138645,2627729400,SAMN34152215,SRX19937332,Illumina HiSeq 2000,BM15_HastKar_Baltic_Spring_rg3,PAIRED,Clupea harengus,ILLUMINA,BM15_HastKar_Baltic_Spring,SRP269168,individual,male,BM15,2013,Baltic Sea,NA,NA,60.532414 N 17.739702 E,spring,modern
SRR24138646,2758426800,SAMN34152215,SRX19937331,Illumina HiSeq 2000,BM15_HastKar_Baltic_Spring_rg2,PAIRED,Clupea harengus,ILLUMINA,BM15_HastKar_Baltic_Spring,SRP269168,individual,male,BM15,2013,Baltic Sea,NA,NA,60.532414 N 17.739702 E,spring,modern
