Run,Bases,BioSample,Experiment,Instrument,Library Name,LibraryLayout,Organism,Platform,Sample_name,SRA Study,sample_type,sex,Sample_code,Date,geo_loc_name,lat,lon,lat_lon,Spawning_time,Era
ERR3930810,3891927962,SAMEA6564727,ERX3938400,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_10,ERP107609,individual,female,20165079-10,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930811,3345846084,SAMEA6564728,ERX3938401,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_11,ERP107609,individual,male,20165079-11,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930812,3849680882,SAMEA6564729,ERX3938402,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_12,ERP107609,individual,male,20165079-12,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930813,3762953909,SAMEA6564730,ERX3938403,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_13,ERP107609,individual,female,20165079-13,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930814,3377025649,SAMEA6564731,ERX3938404,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_15,ERP107609,individual,female,20165079-15,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930815,3223202496,SAMEA6564732,ERX3938405,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_16,ERP107609,individual,female,20165079-16,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930816,4281122321,SAMEA6564733,ERX3938406,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_18,ERP107609,individual,male,20165079-18,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930817,4160579379,SAMEA6564734,ERX3938407,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_19,ERP107609,individual,female,20165079-19,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930818,3528773461,SAMEA6564736,ERX3938408,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_20,ERP107609,individual,male,20165079-20,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930819,3146061244,SAMEA6564735,ERX3938409,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_2,ERP107609,individual,male,20165079-2,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930820,2404144613,SAMEA6564737,ERX3938410,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_3,ERP107609,individual,male,20165079-3,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930821,4080383372,SAMEA6564738,ERX3938411,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_4,ERP107609,individual,female,20165079-4,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930822,3866416394,SAMEA6564739,ERX3938412,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_5,ERP107609,individual,female,20165079-5,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930823,2623676619,SAMEA6564740,ERX3938413,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_6,ERP107609,individual,male,20165079-6,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930824,3016142130,SAMEA6564741,ERX3938414,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_7,ERP107609,individual,male,20165079-7,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930825,3845646637,SAMEA6564742,ERX3938415,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_8,ERP107609,individual,male,20165079-8,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930826,4642289749,SAMEA6564743,ERX3938416,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20165079_9,ERP107609,individual,male,20165079-9,2016,NorthSea,59.81814,1.64507,NA,autumn,modern
ERR3930827,2300566166,SAMEA6564671,ERX3938417,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20145054_4,ERP107609,individual,female,20145054-4,2014,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930828,1054778888,SAMEA6564672,ERX3938418,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20145054_5,ERP107609,individual,female,20145054-5,2014,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930829,2146579068,SAMEA6564695,ERX3938419,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20155014_10,ERP107609,individual,female,20155014-10,2015,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930830,2533251976,SAMEA6564696,ERX3938420,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20155014_11,ERP107609,individual,female,20155014-11,2015,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930831,4593515925,SAMEA6564670,ERX3938421,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20155014_1,ERP107609,individual,female,20155014-1,2015,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930832,2583123308,SAMEA6564680,ERX3938422,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20155014_2,ERP107609,individual,male,20155014-2,2015,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930833,2032548263,SAMEA6564690,ERX3938423,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20155014_3,ERP107609,individual,male,20155014-3,2015,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930834,2925612083,SAMEA6564692,ERX3938424,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20155014_5,ERP107609,individual,male,20155014-5,2015,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930835,1165877802,SAMEA6564693,ERX3938425,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20155014_7,ERP107609,individual,male,20155014-7,2015,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930836,2661765113,SAMEA6564694,ERX3938426,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20155014_9,ERP107609,individual,male,20155014-9,2015,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930837,2931435218,SAMEA6564674,ERX3938427,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20160459_1,ERP107609,individual,female,20160459-1,2016,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930838,1439670773,SAMEA6564682,ERX3938428,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_10,ERP107609,individual,male,20175014-10,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930839,2025817705,SAMEA6564683,ERX3938429,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_11,ERP107609,individual,female,20175014-11,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930840,2607543610,SAMEA6564673,ERX3938430,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_14,ERP107609,individual,male,20175014-14,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930841,2179763452,SAMEA6564675,ERX3938431,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_3,ERP107609,individual,male,20175014-3,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930842,1569752824,SAMEA6564676,ERX3938432,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_4,ERP107609,individual,female,20175014-4,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930843,1406715554,SAMEA6564677,ERX3938433,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_5,ERP107609,individual,male,20175014-5,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930844,2711537917,SAMEA6564678,ERX3938434,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_6,ERP107609,individual,male,20175014-6,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930845,1350893257,SAMEA6564679,ERX3938435,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_7,ERP107609,individual,female,20175014-7,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930846,1394985093,SAMEA6564681,ERX3938436,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175014_9,ERP107609,individual,female,20175014-9,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930847,937253499,SAMEA6564691,ERX3938437,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175015_10,ERP107609,individual,female,20175015-10,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930848,1948623807,SAMEA6564684,ERX3938438,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175015_3,ERP107609,individual,male,20175015-3,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930849,1797465691,SAMEA6564685,ERX3938439,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175015_4,ERP107609,individual,male,20175015-4,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930850,1747119194,SAMEA6564686,ERX3938440,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175015_5,ERP107609,individual,male,20175015-5,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930851,1989012640,SAMEA6564687,ERX3938441,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175015_7,ERP107609,individual,female,20175015-7,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930852,1627915194,SAMEA6564688,ERX3938442,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175015_8,ERP107609,individual,female,20175015-8,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930853,1474052455,SAMEA6564689,ERX3938443,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175015_9,ERP107609,individual,female,20175015-9,2017,FaroeIslands,61.88078,-7.03463,NA,spring,modern
ERR3930854,2201700218,SAMEA6564697,ERX3938444,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175020_1,ERP107609,individual,female,20175020-1,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930855,1281875564,SAMEA6564708,ERX3938445,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175020_2,ERP107609,individual,male,20175020-2,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930856,726861326,SAMEA6564719,ERX3938446,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175020_3,ERP107609,individual,male,20175020-3,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930857,917866945,SAMEA6564721,ERX3938447,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175020_4,ERP107609,individual,male,20175020-4,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930858,954687818,SAMEA6564722,ERX3938448,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175020_5,ERP107609,individual,female,20175020-5,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930859,564341688,SAMEA6564723,ERX3938449,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175020_6,ERP107609,individual,female,20175020-6,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930860,961218092,SAMEA6564724,ERX3938450,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175020_7,ERP107609,individual,male,20175020-7,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930861,1203255046,SAMEA6564726,ERX3938451,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175021_2,ERP107609,individual,male,20175021-2,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930862,1373502964,SAMEA6564699,ERX3938452,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175021_4,ERP107609,individual,female,20175021-4,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930863,1012159752,SAMEA6564700,ERX3938453,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175021_5,ERP107609,individual,male,20175021-5,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930864,1503686937,SAMEA6564701,ERX3938454,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175021_6,ERP107609,individual,male,20175021-6,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930865,1401188142,SAMEA6564702,ERX3938455,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175021_7,ERP107609,individual,female,20175021-7,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930866,1569313725,SAMEA6564725,ERX3938456,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175021_8,ERP107609,individual,male,20175021-8,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930867,969551296,SAMEA6564698,ERX3938457,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175021_9,ERP107609,individual,female,20175021-9,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930868,1058911774,SAMEA6564703,ERX3938458,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175022_1,ERP107609,individual,male,20175022-1,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930869,1012967907,SAMEA6564704,ERX3938459,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175022_2,ERP107609,individual,female,20175022-2,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930870,2390140219,SAMEA6564705,ERX3938460,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175022_3,ERP107609,individual,female,20175022-3,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930871,1466288720,SAMEA6564706,ERX3938461,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175022_4,ERP107609,individual,male,20175022-4,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930872,1116521345,SAMEA6564707,ERX3938462,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175022_5,ERP107609,individual,male,20175022-5,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930873,1299766389,SAMEA6564709,ERX3938463,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175022_6,ERP107609,individual,female,20175022-6,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930874,1340691103,SAMEA6564710,ERX3938464,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175022_7,ERP107609,individual,female,20175022-7,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930875,957744313,SAMEA6564711,ERX3938465,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175022_8,ERP107609,individual,female,20175022-8,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930876,920570807,SAMEA6564712,ERX3938466,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175023_1,ERP107609,individual,male,20175023-1,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930877,1690640860,SAMEA6564713,ERX3938467,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175023_2,ERP107609,individual,male,20175023-2,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930878,1499531186,SAMEA6564714,ERX3938468,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175023_3,ERP107609,individual,male,20175023-3,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930879,2481777503,SAMEA6564715,ERX3938469,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175023_4,ERP107609,individual,female,20175023-4,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930880,721765142,SAMEA6564716,ERX3938470,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175023_5,ERP107609,individual,female,20175023-5,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930881,1496973354,SAMEA6564717,ERX3938471,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175023_6,ERP107609,individual,male,20175023-6,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930882,1355640180,SAMEA6564718,ERX3938472,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175023_7,ERP107609,individual,female,20175023-7,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930883,1398466503,SAMEA6564720,ERX3938473,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,20175023_8,ERP107609,individual,female,20175023-8,2017,Iceland,63.06307,-19.09193,NA,spring,modern
ERR3930884,1963718413,SAMEA6564754,ERX3938474,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520045_23,ERP107609,individual,male,15520045-23,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930885,2051514651,SAMEA6564765,ERX3938475,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520045_24,ERP107609,individual,male,15520045-24,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930886,2213611415,SAMEA6564744,ERX3938476,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520045_26,ERP107609,individual,male,15520045-26,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930887,2146421306,SAMEA6564767,ERX3938477,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520047_22,ERP107609,individual,male,15520047-22,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930888,2981942906,SAMEA6564768,ERX3938478,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520047_23,ERP107609,individual,male,15520047-23,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930889,1701024881,SAMEA6564769,ERX3938479,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520047_24,ERP107609,individual,male,15520047-24,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930890,2254108321,SAMEA6564770,ERX3938480,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520051_23,ERP107609,individual,female,15520051-23,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930891,2210208171,SAMEA6564771,ERX3938481,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520051_24,ERP107609,individual,female,15520051-24,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930892,1596474407,SAMEA6564772,ERX3938482,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520051_25,ERP107609,individual,female,15520051-25,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930893,2402580371,SAMEA6564745,ERX3938483,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520055_24,ERP107609,individual,male,15520055-24,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
ERR3930894,2003887540,SAMEA6564746,ERX3938484,NextSeq 500,unspecified,PAIRED,Clupea harengus,ILLUMINA,15520055_25,ERP107609,individual,male,15520055-25,2015,NorwegianSea,64.51262,-1.84517,NA,spring,modern
