Run,Bases,BioSample,Experiment,Instrument,Library Name,LibraryLayout,Organism,Platform,Sample_name,SRA Study,sample_type,sex,Sample_code,Date,geo_loc_name,lat,lon,lat_lon,Spawning_time,Era
SRR5362785,55836964260,SAMN05589080,SRX2658466,Illumina HiSeq 2500,CA-6p,PAIRED,Clupea harengus,ILLUMINA,NsS,SRP102201,pool,NA,NsS,2014,Canada(Northumberland Strait),46.19,-64.09,NA,spring,modern
SRR5362786,58050844236,SAMN05589079,SRX2658467,Illumina HiSeq 2500,CA-5p,PAIRED,Clupea harengus,ILLUMINA,NsF,SRP102201,pool,NA,NsF,2014,Canada(Northumberland Strait),45.44,-62.36,NA,autumn,modern
SRR5362787,59984257536,SAMN05589078,SRX2658468,Illumina HiSeq 2500,CA-4p,PAIRED,Clupea harengus,ILLUMINA,InB,SRP102201,pool,NA,InB,2014,Canada(Inner Baie Des Chaleurs),48.00,-65.51,NA,spring,modern
SRR5362788,56152857096,SAMN05589077,SRX2658469,Illumina HiSeq 2500,CA-3p,PAIRED,Clupea harengus,ILLUMINA,GeB,SRP102201,pool,NA,GeB,2014,Canada(German Banks),43.16,-66.18,NA,autumn,modern
SRR5362789,53920686456,SAMN05589076,SRX2658470,Illumina HiSeq 2500,CA-2p,PAIRED,Clupea harengus,ILLUMINA,FB,SRP102201,pool,NA,FB,2014,Canada(Fortune Bay),47.17,-55.38,NA,spring,modern
SRR5362790,57264831540,SAMN05589075,SRX2658471,Illumina HiSeq 2500,CA-1p,PAIRED,Clupea harengus,ILLUMINA,BoB,SRP102201,pool,NA,BoB,2014,Canada(Bonavista Bay),48.49,-53.20,NA,autumn,modern
SRR5410387,396862069,SAMN05589107,SRX2702505,Illumina HiSeq 2500,PH6.lib,PAIRED,Clupea pallasii,ILLUMINA,PH6,SRP102201,individual,NA,PH6,2014,Pacific,49.35685,-123.87275,NA,spring,modern
SRR5410388,300710600,SAMN05589106,SRX2702506,Illumina HiSeq 2500,PH5.lib,PAIRED,Clupea pallasii,ILLUMINA,PH5,SRP102201,individual,NA,PH5,2014,Pacific,49.35685,-123.87275,NA,spring,modern
SRR5410389,229273921,SAMN05589105,SRX2702507,Illumina HiSeq 2500,PH4.lib,PAIRED,Clupea pallasii,ILLUMINA,PH4,SRP102201,individual,NA,PH4,2014,Pacific,49.35685,-123.87275,NA,spring,modern
SRR5410390,112369076,SAMN05589104,SRX2702508,Illumina HiSeq 2500,PH3.lib,PAIRED,Clupea pallasii,ILLUMINA,PH3,SRP102201,individual,NA,PH3,2014,Pacific,49.35685,-123.87275,NA,spring,modern
