Run,Bases,BioSample,Experiment,Instrument,Library Name,LibraryLayout,Organism,Platform,Sample_name,SRA Study,sample_type,sex,Sample_code,Date,geo_loc_name,lat,lon,lat_lon,Spawning_time,Era
SRR1943163,8896643800,SAMN03449792,SRX970819,Illumina HiSeq 2000,DNASPEP00006652,PAIRED,Clupea harengus,ILLUMINA,BGI-CH-WGS_1,SRP066617,individual,NA,MB1,NA,NA,N 60°35’,E 05°00’,check,NA,modern
SRR1945056,8908585200,SAMN03449793,SRX971819,Illumina HiSeq 2000,DNASPEP00006652-2,PAIRED,Clupea harengus,ILLUMINA,BGI-CH-WGS_2,SRP066617,individual,NA,MB2,NA,NA,N 60°35’,E 17°48’,check,NA,modern
SRR1945057,14576891400,SAMN03449794,SRX970820,Illumina HiSeq 2000,DNASPEP00006644,PAIRED,Clupea harengus,ILLUMINA,BGI-CH-WGS_3,SRP066617,individual,NA,MB3,NA,NA,N 60°35’,E 17°48’,check,NA,modern
SRR1945058,14154445172,SAMN03449795,SRX970821,Illumina HiSeq 2000,CLUmkjDADDUAAPEI-94,PAIRED,Clupea harengus,ILLUMINA,BGI-CH-WGS_4,SRP066617,individual,NA,MB4,NA,NA,N 60°35’,E 17°48’,check,NA,modern
SRR1945059,11884345144,SAMN03449796,SRX970822,Illumina HiSeq 2000,DNASPEP00007166,PAIRED,Clupea harengus,ILLUMINA,BGI-CH-WGS_5,SRP066617,individual,NA,MB5,NA,NA,N 60°35’,E 17°48’,check,NA,modern
SRR1945060,16934112174,SAMN03449797,SRX970823,Illumina HiSeq 2000,CLUmkjDADDTACPEI-100,PAIRED,Clupea harengus,ILLUMINA,BGI-CH-WGS_6,SRP066617,individual,NA,MB6,NA,NA,N 60°35’,E 17°48’,check,NA,modern
SRR1945061,6470806524,SAMN03449798,SRX970824,Illumina HiSeq 2000,DNASPEP00007456,PAIRED,Clupea harengus,ILLUMINA,BGI-CH-WGS_7,SRP066617,individual,NA,MB7,NA,NA,N 60°35’,E 17°48’,check,NA,modern
SRR1945062,6416396924,SAMN03449799,SRX971820,Illumina HiSeq 2000,DNASPEP00007456-2,PAIRED,Clupea harengus,ILLUMINA,BGI-CH-WGS_8,SRP066617,individual,NA,MB8,NA,NA,N 60°35’,E 17°48’,check,NA,modern
SRR611606,16531490200,SAMN01801715,SRX203066,Illumina HiSeq 2000,AHA_1,PAIRED,Clupea harengus,ILLUMINA,AHA,SRP017094,pool,NA,AHA,1980,NorwegianSea,64°52′, 10°15′,NA,winter/spring,modern
SRR611607,7595272600,SAMN01801715,SRX203066,Illumina HiSeq 2000,AHA_2,PAIRED,Clupea harengus,ILLUMINA,AHA,SRP017094,pool,NA,AHA,1980,NorwegianSea,64°52′, 10°15′,NA,winter/spring,modern
SRR611608,26666926200,SAMN01801715,SRX203066,Illumina HiSeq 2000,AHA_3,PAIRED,Clupea harengus,ILLUMINA,AHA,SRP017094,pool,NA,AHA,1980,NorwegianSea,64°52′, 10°15′,NA,winter/spring,modern
SRR611609,19515647000,SAMN01801714,SRX203067,Illumina HiSeq 2000,AHN_1,PAIRED,Clupea harengus,ILLUMINA,AHN,SRP017094,pool,NA,AHN,1979,NorthSea,58°06′, 06°10′,NA,autumn,modern
SRR611610,9135346400,SAMN01801714,SRX203067,Illumina HiSeq 2000,AHN_2,PAIRED,Clupea harengus,ILLUMINA,AHN,SRP017094,pool,NA,AHN,1979,NorthSea,58°06′, 06°10′,NA,autumn,modern
SRR611612,29757016800,SAMN01801714,SRX203067,Illumina HiSeq 2000,AHN_3,PAIRED,Clupea harengus,ILLUMINA,AHN,SRP017094,pool,NA,AHN,1979,NorthSea,58°06′, 06°10′,NA,autumn,modern
SRR611615,14562837000,SAMN01801713,SRX203069,Illumina HiSeq 2000,AHS_1,PAIRED,Clupea harengus,ILLUMINA,AHS,SRP017094,pool,NA,AHS,1979,Hamburgsund,58°30′, 11°13′,NA,spring,modern
SRR611616,6424100200,SAMN01801713,SRX203069,Illumina HiSeq 2000,AHS_2,PAIRED,Clupea harengus,ILLUMINA,AHS,SRP017094,pool,NA,AHS,1979,Hamburgsund,58°30′, 11°13′,NA,spring,modern
SRR611618,25046549000,SAMN01801713,SRX203069,Illumina HiSeq 2000,AHS_3,PAIRED,Clupea harengus,ILLUMINA,AHS,SRP017094,pool,NA,AHS,1979,Hamburgsund,58°30′, 11°13′,NA,spring,modern
SRR611627,14428832800,SAMN01801710,SRX203077,Illumina HiSeq 2000,BHG_1,PAIRED,Clupea harengus,ILLUMINA,BHG,SRP017095,pool,NA,BHG,1979,Gambley,57°50′, 16°27′,NA,spring,modern
SRR611629,6292327800,SAMN01801710,SRX203077,Illumina HiSeq 2000,BHG_2,PAIRED,Clupea harengus,ILLUMINA,BHG,SRP017095,pool,NA,BHG,1979,Gambley,57°50′, 16°27′,NA,spring,modern
SRR611631,22338548000,SAMN01801710,SRX203077,Illumina HiSeq 2000,BHG_3,PAIRED,Clupea harengus,ILLUMINA,BHG,SRP017095,pool,NA,BHG,1979,Gambley,57°50′, 16°27′,NA,spring,modern
SRR611636,14291728800,SAMN01801708,SRX203081,Illumina HiSeq 2000,BHK_1,PAIRED,Clupea harengus,ILLUMINA,BHK,SRP017095,pool,NA,BHK,1980,Kalix,65°52′, 22°43′,NA,spring,modern
SRR611637,5529324200,SAMN01801708,SRX203081,Illumina HiSeq 2000,BHK_2,PAIRED,Clupea harengus,ILLUMINA,BHK,SRP017095,pool,NA,BHK,1980,Kalix,65°52′, 22°43′,NA,spring,modern
SRR611638,20950263200,SAMN01801708,SRX203081,Illumina HiSeq 2000,BHK_3,PAIRED,Clupea harengus,ILLUMINA,BHK,SRP017095,pool,NA,BHK,1980,Kalix,65°52′, 22°43′,NA,spring,modern
