id,x,y,spawn
MHER001,59.30354,5.20294,spring
MHER002,59.30354,5.20294,spring
MHER003,59.30354,5.20294,spring
MHER005,62.84068,7.00714,spring
MHER006,62.84068,7.00715,spring
MHER007,62.84068,7.00716,spring
MHER008,62.84068,7.00717,spring
MHER009,58.7203,9.23274,spring
MHER010,58.7203,9.23274,spring
MHER011,58.7203,9.23274,spring
MHER012,58.7203,9.23274,spring
MHER013,58.09425,11.32181,spring
MHER014,58.09425,11.32181,spring
MHER015,58.09425,11.32181,spring
MHER016,65.76593,23.30565,spring
MHER017,65.76593,23.30565,spring
MHER018,65.76593,23.30565,spring
MHER019,56.59106,16.33068,spring
MHER020,56.59106,16.33068,spring
MHER021,56.59106,16.33068,spring
MHER022,59.07217,11.38076,spring
MHER023,59.07217,11.38076,spring
MHER024,59.07217,11.38076,spring
MHER025,56.11257,15.33585,spring
MHER026,56.11257,15.33585,spring
MHER027,56.11257,15.33585,spring
MHER028,59.07217,11.38076,spring
MHER029,59.07217,11.38076,spring
MHER030,59.07217,11.38076,spring
MHER034,58.09425,11.32181,spring
MHER035,58.09425,11.32181,spring
MHER036,58.09425,11.32181,spring
MHER037,58.09425,11.32181,spring
MHER038,58.7203,9.23274,spring
MHER039,58.7203,9.23274,spring
MHER044,59.07217,11.38076,spring
MHER045,59.07217,11.38076,spring
MHER046,59.07217,11.38076,spring
MHER052,56.59106,16.33068,spring
MHER053,59.30354,5.20294,spring
MHER054,65.76593,23.30565,spring
MHER055,65.76593,23.30565,spring
MHER056,65.76593,23.30565,spring
MHER057,56.11257,15.33585,spring
MHER058,56.11257,15.33585,spring
MHER059,56.11257,15.33585,spring
MHER061,59.07217,11.38076,spring
MHER062,59.07217,11.38076,spring
MHER063,59.07217,11.38076,spring
MHER064,59.07217,11.38076,spring
MHER065,58.7203,9.23274,spring
MHER066,58.7203,9.23274,spring
12S4S7i22,50.09,-66.33,summer
16SBDO107,45.93,-60.85,spring
16SBDO106,45.93,-60.85,spring
14F4TL415,47.04,-63.96,autumn
16S6Pla72,47.31,-53.94,spring
16S6Pla71,47.31,-53.94,spring
16S4Pla79,47.31,-53.94,spring
16S4Pla78,47.31,-53.94,spring
15S3K449,49.55,-55.44,spring
15S3K430,49.55,-55.44,spring
15S3K410,49.55,-55.44,spring
15S3K404,49.55,-55.44,spring
14S3Ps265,47.52,-55.4,spring
14S3Ps233,47.52,-55.4,spring
14F4TL404,47.04,-63.96,autumn
12S4Rsv41,49.73,-57.94,spring
12S4Rsv38,49.73,-57.94,spring
15F5Y514620,42.09,-70.41,autumn
15F5Y514617,42.09,-70.41,autumn
15F4XRsb626,45.17,-64.92,autumn
15F4XRsb625,45.17,-64.92,autumn
15F3K621,49.55,-55.47,autumn
15F3K609,49.55,-55.47,autumn
15F3K602,49.55,-55.47,autumn
15F2J616,52.25,-55.5,autumn
15F2J606,52.25,-55.5,autumn
15F2J603,52.25,-55.5,autumn
15F2J602,52.25,-55.5,autumn
14F4WK316,44.63,-63.1,autumn
14F4WK306,44.63,-63.1,autumn
12S4S7i28,50.09,-66.33,summer
15F3K601,49.55,-55.47,autumn
14F4Sbs349,51.38,-57.31,autumn
14F4Sbs344,51.38,-57.31,autumn
AAL1,51.983333333333334,-6.85,
AAL2,51.983333333333334,-6.85,
AAL3,51.983333333333334,-6.85,
AF29,61.185625,4.658203,spring
AF30,61.185625,4.658203,spring
AF31,61.185625,4.658203,spring
AF8,61.185625,4.658203,spring
AK1,51.56666666666667,2.5,
AK2,51.56666666666667,2.5,
AK3,51.56666666666667,2.5,
AM27,64.866667,10.25,spring
AM29,64.866667,10.25,spring
AM33,64.866667,10.25,spring
AM8,64.866667,10.25,spring
BF16,60.532414,17.739702,spring
BF18,60.532414,17.739702,spring
BF19,60.532414,17.739702,spring
BF21,60.532414,17.739702,spring
BM14,60.532414,17.739702,spring
BM15,60.532414,17.739702,spring
BM16,60.532414,17.739702,spring
BM19,60.532414,17.739702,spring
Fehmarn3,54.833333333333336,11.5,
Fehmarn44,54.833333333333336,11.5,
Fehmarn6,54.833333333333336,11.5,
Gavle100,54.833333333333336,11.5,
Gavle54,54.833333333333336,11.5,
Gavle98,54.833333333333336,11.5,
Herring752,69.27,19.28,
Herring753,69.27,19.28,
Herring754,69.27,19.28,
Herring755,69.27,19.28,
Herring756,69.27,19.28,
Herring757,69.27,19.28,
Herring758,69.27,19.28,
Herring759,69.27,19.28,
Herring760,69.27,19.28,
Herring761,69.27,19.28,
Herring762,69.27,19.28,
Herring763,69.27,19.28,
Herring765,69.27,19.28,
Herring766,69.27,19.28,
Herring767,69.27,19.28,
Herring768,69.27,19.28,
Herring769,69.27,19.28,
Herring770,69.27,19.28,
Herring771,69.27,19.28,
Herring772,69.27,19.28,
Herring773,69.27,19.28,
Herring774,69.27,19.28,
Herring775,69.27,19.28,
Herring776,69.27,19.28,
Herring777,69.27,19.28,
Herring778,69.27,19.28,
Herring779,69.27,19.28,
Herring780,69.27,19.28,
Herring781,69.27,19.28,
Herring782,69.27,19.28,
Herring783,69.27,19.28,
Herring784,69.27,19.28,
Herring785,69.27,19.28,
Herring786,69.27,19.28,
Herring787,69.27,19.28,
Herring788,69.27,19.28,
Herring789,69.27,19.28,
Herring790,69.27,19.28,
Herring791,69.27,19.28,
Herring792,69.27,19.28,
Herring793,69.27,19.28,
HWS11,48.4,141.94,
HWS12,48.4,141.94,
HWS13,48.4,141.94,
HWS14,48.4,141.94,
HWS21,67.78,45.99,
HWS22,67.78,45.99,
HWS23,67.78,45.99,
HWS24,67.78,45.99,
HWS31,64.0,37.9,
HWS32,64.0,37.9,
HWS33,64.0,37.9,
