sample_id,species,region,location,spawn,year,x,y,study,wg.depth,new.id,time
201450544,clupea_harengus,NE-ATL,FaroeIslands,autumn,2014,-7.03463,61.88078,Kongsstovu_2022,2.675704,faroe_1,modern
201450545,clupea_harengus,NE-ATL,FaroeIslands,autumn,2014,-7.03463,61.88078,Kongsstovu_2022,1.225597,faroe_2,modern
201550141,clupea_harengus,NE-ATL,FaroeIslands,autumn,2015,-7.03463,61.88078,Kongsstovu_2022,5.347861,faroe_3,modern
201550142,clupea_harengus,NE-ATL,FaroeIslands,autumn,2015,-7.03463,61.88078,Kongsstovu_2022,3.000768,faroe_4,modern
201550143,clupea_harengus,NE-ATL,FaroeIslands,autumn,2015,-7.03463,61.88078,Kongsstovu_2022,2.347772,faroe_5,modern
201550145,clupea_harengus,NE-ATL,FaroeIslands,autumn,2015,-7.03463,61.88078,Kongsstovu_2022,3.386134,faroe_6,modern
201550147,clupea_harengus,NE-ATL,FaroeIslands,autumn,2015,-7.03463,61.88078,Kongsstovu_2022,1.352436,faroe_7,modern
201550149,clupea_harengus,NE-ATL,FaroeIslands,autumn,2015,-7.03463,61.88078,Kongsstovu_2022,3.084411,faroe_8,modern
201550562,clupea_harengus,NE-ATL,NorwegianSea,spring,2015,-1.84517,64.51262,Kongsstovu_2022,2.201382,norwegian_1,modern
201550563,clupea_harengus,NE-ATL,NorwegianSea,spring,2015,-1.84517,64.51262,Kongsstovu_2022,3.026903,norwegian_2,modern
201550564,clupea_harengus,NE-ATL,NorwegianSea,spring,2015,-1.84517,64.51262,Kongsstovu_2022,1.835695,norwegian_3,modern
201550565,clupea_harengus,NE-ATL,NorwegianSea,spring,2015,-1.84517,64.51262,Kongsstovu_2022,2.193944,norwegian_4,modern
201550566,clupea_harengus,NE-ATL,NorwegianSea,spring,2015,-1.84517,64.51262,Kongsstovu_2022,1.642967,norwegian_5,modern
201550567,clupea_harengus,NE-ATL,NorwegianSea,spring,2015,-1.84517,64.51262,Kongsstovu_2022,1.807172,norwegian_6,modern
201550568,clupea_harengus,NE-ATL,NorwegianSea,spring,2015,-1.84517,64.51262,Kongsstovu_2022,1.874624,norwegian_7,modern
201550569,clupea_harengus,NE-ATL,NorwegianSea,spring,2015,-1.84517,64.51262,Kongsstovu_2022,2.060728,norwegian_8,modern
201604591,clupea_harengus,NE-ATL,FaroeIslands,autumn,2016,-7.03463,61.88078,Kongsstovu_2022,3.388008,faroe_9,modern
201650792,clupea_harengus,NE-ATL,NorthSea,autumn,2016,1.64507,59.81814,Kongsstovu_2022,3.500345,northsea_1,modern
201650793,clupea_harengus,NE-ATL,NorthSea,autumn,2016,1.64507,59.81814,Kongsstovu_2022,2.673982,northsea_2,modern
201650794,clupea_harengus,NE-ATL,NorthSea,autumn,2016,1.64507,59.81814,Kongsstovu_2022,4.552802,northsea_3,modern
201650795,clupea_harengus,NE-ATL,NorthSea,autumn,2016,1.64507,59.81814,Kongsstovu_2022,4.347804,northsea_4,modern
201650796,clupea_harengus,NE-ATL,NorthSea,autumn,2016,1.64507,59.81814,Kongsstovu_2022,2.931466,northsea_5,modern
201650797,clupea_harengus,NE-ATL,NorthSea,autumn,2016,1.64507,59.81814,Kongsstovu_2022,3.356827,northsea_6,modern
201650798,clupea_harengus,NE-ATL,NorthSea,autumn,2016,1.64507,59.81814,Kongsstovu_2022,4.306733,northsea_7,modern
201650799,clupea_harengus,NE-ATL,NorthSea,autumn,2016,1.64507,59.81814,Kongsstovu_2022,5.158727,northsea_8,modern
201750143,clupea_harengus,NE-ATL,FaroeIslands,autumn,2017,-7.03463,61.88078,Kongsstovu_2022,2.528463,faroe_10,modern
201750144,clupea_harengus,NE-ATL,FaroeIslands,autumn,2017,-7.03463,61.88078,Kongsstovu_2022,1.818575,faroe_11,modern
201750145,clupea_harengus,NE-ATL,FaroeIslands,autumn,2017,-7.03463,61.88078,Kongsstovu_2022,1.634615,faroe_12,modern
201750146,clupea_harengus,NE-ATL,FaroeIslands,autumn,2017,-7.03463,61.88078,Kongsstovu_2022,3.157729,faroe_13,modern
201750147,clupea_harengus,NE-ATL,FaroeIslands,autumn,2017,-7.03463,61.88078,Kongsstovu_2022,1.565254,faroe_14,modern
201750149,clupea_harengus,NE-ATL,FaroeIslands,autumn,2017,-7.03463,61.88078,Kongsstovu_2022,1.619030,faroe_15,modern
201750153,clupea_harengus,NE-ATL,FaroeIslands,autumn,2017,-7.03463,61.88078,Kongsstovu_2022,2.261519,faroe_16,modern
201750154,clupea_harengus,NE-ATL,FaroeIslands,autumn,2017,-7.03463,61.88078,Kongsstovu_2022,2.083857,faroe_17,modern
