Specimen ID,Sample ID,EC,GRR,DP
66215,ND345,0.00483,0.00205,NA
66216,ND346,0.00093,0.00014,NA
66217,ND347,0.00139,0.00049,NA
66218,ND348,0.00192,0.00089,NA
66219,ND349,0.00995,0.00452,NA
66220,ND350,0.01052,0.00496,NA
66221,ND351,0.00019,0.00005,NA
66222,ND352,0.0019,0.00066,NA
66223,ND353,0.0063,0.00178,NA
66224,ND354,0.00075,0.00021,NA
66225,ND355,0.00046,0.00009,NA
66226,ND356,0.04322,0.02111,NA
66227,ND357,0.02629,0.01324,NA
66228,ND358,0.00297,0.00134,NA
66229,ND359,0.00115,0.00051,NA
66230,ND360,0.05049,0.02051,NA
66231,ND361,0.00508,0.00223,NA
66232,ND362,0.00038,0.00015,NA
66233,ND363,0.00032,0.00006,NA
66234,ND364,0.13477,0.05867,0.435564
66235,ND365,0.09022,0.04039,0.864319
66236,ND366,0.01723,0.00665,NA
66237,ND367,0.01499,0.00589,NA
66238,ND368,0.00366,0.00133,NA
66239,ND369,0.00534,0.00161,NA
66240,ND370,0.00138,0.00071,NA
66241,ND371,0.05911,0.0205,NA
66242,ND372,0.02834,0.01292,NA
66243,ND373,0.02665,0.01282,NA
66244,ND374,0.16814,0.07717,1.149998
66245,ND375,0.19989,0.09252,1.186265
66246,ND376,0.03229,0.00646,NA
66247,ND377,0.00126,0.00052,NA
66248,ND378,0.00657,0.00319,NA
66249,ND379,0.00804,0.00292,NA
66250,ND380,0.00609,0.00288,NA
66251,ND381,0.00473,0.00174,NA
66252,ND382,0.01237,0.00379,NA
66253,ND383,0.02923,0.01093,NA
66254,ND384,0.00163,0.00078,NA
66255,ND385,0.00703,0.00187,NA
66256,ND386,0.00231,0.00096,NA
66257,ND387,0.05864,0.03039,0.623124
66258,ND388,0.00125,0.00047,NA
66259,ND389,0.00057,0.00017,NA
66260,ND390,0.00505,0.0017,NA
