CM079351.1 NC_045152.1 chr1
CM079352.1 NC_045153.1 chr2
CM079353.1 NC_045154.1 chr3
CM079354.1 NC_045155.1 chr4
CM079355.1 NC_045156.1 chr5
CM079356.1 NC_045157.1 chr6
CM079357.1 NC_045158.1 chr7
CM079358.1 NC_045159.1 chr8
CM079359.1 NC_045160.1 chr9
CM079360.1 NC_045161.1 chr10
CM079361.1 NC_045162.1 chr11
CM079362.1 NC_045163.1 chr12
CM079363.1 NC_045164.1 chr13
CM079364.1 NC_045165.1 chr14
CM079365.1 NC_045166.1 chr15
CM079366.1 NC_045167.1 chr16
CM079367.1 NC_045168.1 chr17
CM079368.1 NC_045169.1 chr18
CM079369.1 NC_045170.1 chr19
CM079370.1 NC_045171.1 chr20
CM079371.1 NC_045172.1 chr21
CM079372.1 NC_045173.1 chr22
CM079373.1 NC_045174.1 chr23
CM079374.1 NC_045175.1 chr24
CM079375.1 NC_045176.1 chr25
CM079376.1 NC_045177.1 chr26
NA NW_024879564.1 unplaced_scaffold27
NA NW_024879565.1 unplaced_scaffold28
NA NW_024879566.1 unplaced_scaffold29
NA NW_024879567.1 unplaced_scaffold30
NA NW_024879568.1 unplaced_scaffold31
NA NW_024879569.1 unplaced_scaffold32
NA NW_024879570.1 unplaced_scaffold33
NA NW_024879571.1 unplaced_scaffold34
NA NW_024879572.1 unplaced_scaffold35
NA NW_024879573.1 unplaced_scaffold36
NA NW_024879574.1 unplaced_scaffold37
NA NW_024879575.1 unplaced_scaffold38
NA NW_024879576.1 unplaced_scaffold39
NA NW_024879577.1 unplaced_scaffold40
NA NW_024879578.1 unplaced_scaffold41
NA NW_024879579.1 unplaced_scaffold42
NA NW_024879580.1 unplaced_scaffold43
NA NW_024879581.1 unplaced_scaffold44
NA NW_024879582.1 unplaced_scaffold45
NA NW_024879583.1 unplaced_scaffold46
NA NW_024879584.1 unplaced_scaffold47
NA NW_024879585.1 unplaced_scaffold48
NA NW_024879586.1 unplaced_scaffold49
NA NW_024879587.1 unplaced_scaffold50
NA NW_024879588.1 unplaced_scaffold51
NA NW_024879589.1 unplaced_scaffold52
NA NW_024879590.1 unplaced_scaffold53
NA NW_024879591.1 unplaced_scaffold54
NA NW_024879592.1 unplaced_scaffold55
NA NW_024879593.1 unplaced_scaffold56
NA NW_024879594.1 unplaced_scaffold57
NA NW_024879595.1 unplaced_scaffold58
NA NW_024879596.1 unplaced_scaffold59
NA NW_024879597.1 unplaced_scaffold60
NA NW_024879598.1 unplaced_scaffold61
NA NW_024879599.1 unplaced_scaffold62
NA NW_024879600.1 unplaced_scaffold63
NA NW_024879601.1 unplaced_scaffold64
NA NW_024879602.1 unplaced_scaffold65
NA NW_024879603.1 unplaced_scaffold66
NA NW_024879604.1 unplaced_scaffold67
NA NW_024879605.1 unplaced_scaffold68
NA NW_024879606.1 unplaced_scaffold69
NA NW_024879607.1 unplaced_scaffold70
NA NW_024879608.1 unplaced_scaffold71
NA NW_024879609.1 unplaced_scaffold72
NA NW_024879610.1 unplaced_scaffold73
NA NW_024879611.1 unplaced_scaffold74
NA NW_024879612.1 unplaced_scaffold75
NA NW_024879613.1 unplaced_scaffold76
NA NW_024879614.1 unplaced_scaffold77
NA NW_024879615.1 unplaced_scaffold78
NA NW_024879616.1 unplaced_scaffold79
NA NW_024879617.1 unplaced_scaffold80
NA NW_024879618.1 unplaced_scaffold81
NA NW_024879619.1 unplaced_scaffold82
NA NW_024879620.1 unplaced_scaffold83
NA NW_024879621.1 unplaced_scaffold84
NA NW_024879622.1 unplaced_scaffold85
NA NW_024879623.1 unplaced_scaffold86
NA NW_024879624.1 unplaced_scaffold87
NA NW_024879625.1 unplaced_scaffold88
NA NW_024879626.1 unplaced_scaffold89
NA NW_024879627.1 unplaced_scaffold90
NA NW_024879628.1 unplaced_scaffold91
NA NW_024879629.1 unplaced_scaffold92
NA NW_024879630.1 unplaced_scaffold93
NA NW_024879631.1 unplaced_scaffold94
NA NW_024879632.1 unplaced_scaffold95
NA NW_024879633.1 unplaced_scaffold96
NA NW_024879634.1 unplaced_scaffold97
NA NW_024879635.1 unplaced_scaffold98
NA NW_024879636.1 unplaced_scaffold99
NA NW_024879637.1 unplaced_scaffold100
NA NW_024879638.1 unplaced_scaffold101
NA NW_024879639.1 unplaced_scaffold102
NA NW_024879640.1 unplaced_scaffold103
NA NW_024879641.1 unplaced_scaffold104
NA NW_024879642.1 unplaced_scaffold105
NA NW_024879643.1 unplaced_scaffold106
NA NW_024879644.1 unplaced_scaffold107
NA NW_024879645.1 unplaced_scaffold108
NA NW_024879646.1 unplaced_scaffold109
NA NW_024879647.1 unplaced_scaffold110
NA NW_024879648.1 unplaced_scaffold111
NA NW_024879649.1 unplaced_scaffold112
NA NW_024879650.1 unplaced_scaffold113
NA NW_024879651.1 unplaced_scaffold114
NA NW_024879652.1 unplaced_scaffold115
NA NW_024879653.1 unplaced_scaffold116
NA NW_024879654.1 unplaced_scaffold117
NA NW_024879655.1 unplaced_scaffold118
NA NW_024879656.1 unplaced_scaffold119
NA NW_024879657.1 unplaced_scaffold120
NA NW_024879658.1 unplaced_scaffold121
NA NW_024879659.1 unplaced_scaffold122
NA NW_024879660.1 unplaced_scaffold123
NA NW_024879661.1 unplaced_scaffold124
NA NW_024879662.1 unplaced_scaffold125
NA NW_024879663.1 unplaced_scaffold126
NA NW_024879664.1 unplaced_scaffold127
NA NW_024879665.1 unplaced_scaffold128
NA NW_024879666.1 unplaced_scaffold129
NA NW_024879667.1 unplaced_scaffold130
NA NW_024879668.1 unplaced_scaffold131
NA NW_024879669.1 unplaced_scaffold132
NA NW_024879670.1 unplaced_scaffold133
NA NW_024879671.1 unplaced_scaffold134
NA NW_024879672.1 unplaced_scaffold135
NA NW_024879673.1 unplaced_scaffold136
NA NW_024879674.1 unplaced_scaffold137
NA NW_024879675.1 unplaced_scaffold138
NA NW_024879676.1 unplaced_scaffold139
NA NW_024879677.1 unplaced_scaffold140
NA NW_024879678.1 unplaced_scaffold141
NA NW_024879679.1 unplaced_scaffold142
NA NW_024879680.1 unplaced_scaffold143
NA NW_024879681.1 unplaced_scaffold144
NA NW_024879682.1 unplaced_scaffold145
NA NW_024879683.1 unplaced_scaffold146
NA NW_024879684.1 unplaced_scaffold147
NA NW_024879685.1 unplaced_scaffold148
NA NW_024879686.1 unplaced_scaffold149
NA NW_024879687.1 unplaced_scaffold150
NA NW_024879688.1 unplaced_scaffold151
NA NW_024879689.1 unplaced_scaffold152
NA NW_024879690.1 unplaced_scaffold153
NA NW_024879691.1 unplaced_scaffold154
NA NW_024879692.1 unplaced_scaffold155
NA NW_024879693.1 unplaced_scaffold156
NA NW_024879694.1 unplaced_scaffold157
NA NW_024879695.1 unplaced_scaffold158
NA NW_024879696.1 unplaced_scaffold159
NA NW_024879697.1 unplaced_scaffold160
NA NW_024879698.1 unplaced_scaffold161
NA NW_024879699.1 unplaced_scaffold162
NA NW_024879700.1 unplaced_scaffold163
